txt,pn,A,B,C,device
178_1b2_Lr_mc_AKGC417L.txt,178,1b2,Lr,mc,AKGC417L
172_2b5_Al_mc_AKGC417L.txt,172,2b5,Al,mc,AKGC417L
158_1p3_Pl_mc_AKGC417L.txt,158,1p3,Pl,mc,AKGC417L
223_1b1_Pr_sc_Meditron.txt,223,1b1,Pr,sc,Meditron
163_8b3_Pr_mc_AKGC417L.txt,163,8b3,Pr,mc,AKGC417L
156_2b3_Ar_mc_AKGC417L.txt,156,2b3,Ar,mc,AKGC417L
151_2p4_Ll_mc_AKGC417L.txt,151,2p4,Ll,mc,AKGC417L
130_3p2_Ar_mc_AKGC417L.txt,130,3p2,Ar,mc,AKGC417L
174_1p2_Pr_mc_AKGC417L.txt,174,1p2,Pr,mc,AKGC417L
162_1b2_Lr_mc_AKGC417L.txt,162,1b2,Lr,mc,AKGC417L
111_1b2_Tc_sc_Meditron.txt,111,1b2,Tc,sc,Meditron
211_1p5_Ar_mc_AKGC417L.txt,211,1p5,Ar,mc,AKGC417L
107_2b5_Lr_mc_AKGC417L.txt,107,2b5,Lr,mc,AKGC417L
172_1b3_Lr_mc_AKGC417L.txt,172,1b3,Lr,mc,AKGC417L
135_2b3_Ar_mc_LittC2SE.txt,135,2b3,Ar,mc,LittC2SE
221_2b3_Pr_mc_LittC2SE.txt,221,2b3,Pr,mc,LittC2SE
160_1b4_Lr_mc_AKGC417L.txt,160,1b4,Lr,mc,AKGC417L
201_1b3_Al_sc_Meditron.txt,201,1b3,Al,sc,Meditron
170_1b4_Lr_mc_AKGC417L.txt,170,1b4,Lr,mc,AKGC417L
156_5b3_Pl_mc_AKGC417L.txt,156,5b3,Pl,mc,AKGC417L
130_2b2_Ll_mc_AKGC417L.txt,130,2b2,Ll,mc,AKGC417L
219_2b3_Tc_mc_LittC2SE.txt,219,2b3,Tc,mc,LittC2SE
130_3b4_Pl_mc_AKGC417L.txt,130,3b4,Pl,mc,AKGC417L
141_1b3_Al_mc_LittC2SE.txt,141,1b3,Al,mc,LittC2SE
130_2b4_Pl_mc_AKGC417L.txt,130,2b4,Pl,mc,AKGC417L
154_1b3_Lr_mc_AKGC417L.txt,154,1b3,Lr,mc,AKGC417L
134_2b1_Al_mc_LittC2SE.txt,134,2b1,Al,mc,LittC2SE
186_2b4_Ar_mc_AKGC417L.txt,186,2b4,Ar,mc,AKGC417L
113_1b1_Pr_sc_Litt3200.txt,113,1b1,Pr,sc,Litt3200
133_2p2_Ar_mc_AKGC417L.txt,133,2p2,Ar,mc,AKGC417L
158_1p3_Ll_mc_AKGC417L.txt,158,1p3,Ll,mc,AKGC417L
176_1b3_Ll_mc_AKGC417L.txt,176,1b3,Ll,mc,AKGC417L
154_1b3_Ll_mc_AKGC417L.txt,154,1b3,Ll,mc,AKGC417L
130_3p2_Pr_mc_AKGC417L.txt,130,3p2,Pr,mc,AKGC417L
104_1b1_Al_sc_Litt3200.txt,104,1b1,Al,sc,Litt3200
200_2p2_Ar_mc_AKGC417L.txt,200,2p2,Ar,mc,AKGC417L
193_7b3_Ar_mc_AKGC417L.txt,193,7b3,Ar,mc,AKGC417L
186_3b3_Pl_mc_AKGC417L.txt,186,3b3,Pl,mc,AKGC417L
135_2b3_Tc_mc_LittC2SE.txt,135,2b3,Tc,mc,LittC2SE
225_1b1_Pl_sc_Meditron.txt,225,1b1,Pl,sc,Meditron
160_1b4_Ar_mc_AKGC417L.txt,160,1b4,Ar,mc,AKGC417L
143_1b1_Al_sc_Meditron.txt,143,1b1,Al,sc,Meditron
130_1p3_Pl_mc_AKGC417L.txt,130,1p3,Pl,mc,AKGC417L
163_8b3_Pl_mc_AKGC417L.txt,163,8b3,Pl,mc,AKGC417L
186_2b2_Tc_mc_AKGC417L.txt,186,2b2,Tc,mc,AKGC417L
183_1b1_Pl_sc_Meditron.txt,183,1b1,Pl,sc,Meditron
147_2b4_Pl_mc_AKGC417L.txt,147,2b4,Pl,mc,AKGC417L
154_3b3_Al_mc_AKGC417L.txt,154,3b3,Al,mc,AKGC417L
172_1b3_Tc_mc_AKGC417L.txt,172,1b3,Tc,mc,AKGC417L
221_2b2_Ar_mc_LittC2SE.txt,221,2b2,Ar,mc,LittC2SE
104_1b1_Pr_sc_Litt3200.txt,104,1b1,Pr,sc,Litt3200
130_1p2_Pr_mc_AKGC417L.txt,130,1p2,Pr,mc,AKGC417L
163_2b2_Lr_mc_AKGC417L.txt,163,2b2,Lr,mc,AKGC417L
162_2b3_Pl_mc_AKGC417L.txt,162,2b3,Pl,mc,AKGC417L
156_8b3_Al_mc_AKGC417L.txt,156,8b3,Al,mc,AKGC417L
211_2p4_Tc_mc_AKGC417L.txt,211,2p4,Tc,mc,AKGC417L
160_1b4_Tc_mc_AKGC417L.txt,160,1b4,Tc,mc,AKGC417L
178_2b2_Ar_mc_AKGC417L.txt,178,2b2,Ar,mc,AKGC417L
124_1b1_Ll_sc_Litt3200.txt,124,1b1,Ll,sc,Litt3200
151_3p3_Ll_mc_AKGC417L.txt,151,3p3,Ll,mc,AKGC417L
177_1b2_Pr_mc_AKGC417L.txt,177,1b2,Pr,mc,AKGC417L
133_2p3_Al_mc_AKGC417L.txt,133,2p3,Al,mc,AKGC417L
130_1p3_Ll_mc_AKGC417L.txt,130,1p3,Ll,mc,AKGC417L
109_1b1_Ar_sc_Litt3200.txt,109,1b1,Ar,sc,Litt3200
149_1b1_Al_sc_Meditron.txt,149,1b1,Al,sc,Meditron
160_2b4_Ar_mc_AKGC417L.txt,160,2b4,Ar,mc,AKGC417L
176_1b4_Tc_mc_AKGC417L.txt,176,1b4,Tc,mc,AKGC417L
121_1p1_Tc_sc_Meditron.txt,121,1p1,Tc,sc,Meditron
185_1b1_Ll_sc_Litt3200.txt,185,1b1,Ll,sc,Litt3200
224_1b1_Tc_sc_Meditron.txt,224,1b1,Tc,sc,Meditron
205_1b3_Al_mc_AKGC417L.txt,205,1b3,Al,mc,AKGC417L
211_1p2_Ar_mc_AKGC417L.txt,211,1p2,Ar,mc,AKGC417L
130_3p4_Pl_mc_AKGC417L.txt,130,3p4,Pl,mc,AKGC417L
206_1b1_Ar_sc_Meditron.txt,206,1b1,Ar,sc,Meditron
176_1b4_Pr_mc_AKGC417L.txt,176,1b4,Pr,mc,AKGC417L
205_4b2_Pl_mc_AKGC417L.txt,205,4b2,Pl,mc,AKGC417L
193_7b3_Pr_mc_AKGC417L.txt,193,7b3,Pr,mc,AKGC417L
203_1p4_Pl_mc_AKGC417L.txt,203,1p4,Pl,mc,AKGC417L
207_2b2_Pl_mc_AKGC417L.txt,207,2b2,Pl,mc,AKGC417L
162_2b4_Ar_mc_AKGC417L.txt,162,2b4,Ar,mc,AKGC417L
107_2b4_Pr_mc_AKGC417L.txt,107,2b4,Pr,mc,AKGC417L
172_1b3_Al_mc_AKGC417L.txt,172,1b3,Al,mc,AKGC417L
160_1b4_Pl_mc_AKGC417L.txt,160,1b4,Pl,mc,AKGC417L
211_1p2_Pl_mc_AKGC417L.txt,211,1p2,Pl,mc,AKGC417L
112_1p1_Pl_sc_Litt3200.txt,112,1p1,Pl,sc,Litt3200
176_1b4_Lr_mc_AKGC417L.txt,176,1b4,Lr,mc,AKGC417L
213_1p3_Pr_mc_AKGC417L.txt,213,1p3,Pr,mc,AKGC417L
186_2b2_Pr_mc_AKGC417L.txt,186,2b2,Pr,mc,AKGC417L
156_5b3_Ar_mc_AKGC417L.txt,156,5b3,Ar,mc,AKGC417L
197_1b1_Al_sc_Meditron.txt,197,1b1,Al,sc,Meditron
207_3b2_Lr_mc_AKGC417L.txt,207,3b2,Lr,mc,AKGC417L
147_2b4_Al_mc_AKGC417L.txt,147,2b4,Al,mc,AKGC417L
118_1b1_Pl_sc_Litt3200.txt,118,1b1,Pl,sc,Litt3200
186_2b3_Pl_mc_AKGC417L.txt,186,2b3,Pl,mc,AKGC417L
162_2b2_Pr_mc_AKGC417L.txt,162,2b2,Pr,mc,AKGC417L
221_2b2_Lr_mc_LittC2SE.txt,221,2b2,Lr,mc,LittC2SE
130_2b3_Lr_mc_AKGC417L.txt,130,2b3,Lr,mc,AKGC417L
207_2b3_Tc_mc_AKGC417L.txt,207,2b3,Tc,mc,AKGC417L
151_3p2_Al_mc_AKGC417L.txt,151,3p2,Al,mc,AKGC417L
170_1b3_Pr_mc_AKGC417L.txt,170,1b3,Pr,mc,AKGC417L
226_1b1_Al_sc_Meditron.txt,226,1b1,Al,sc,Meditron
111_1b3_Tc_sc_Meditron.txt,111,1b3,Tc,sc,Meditron
205_4b2_Ar_mc_AKGC417L.txt,205,4b2,Ar,mc,AKGC417L
107_2b4_Pl_mc_AKGC417L.txt,107,2b4,Pl,mc,AKGC417L
156_2b3_Pl_mc_AKGC417L.txt,156,2b3,Pl,mc,AKGC417L
107_2b5_Tc_mc_AKGC417L.txt,107,2b5,Tc,mc,AKGC417L
151_2p2_Pr_mc_AKGC417L.txt,151,2p2,Pr,mc,AKGC417L
107_3p2_Ll_mc_AKGC417L.txt,107,3p2,Ll,mc,AKGC417L
107_3p2_Ar_mc_AKGC417L.txt,107,3p2,Ar,mc,AKGC417L
151_2p2_Ll_mc_AKGC417L.txt,151,2p2,Ll,mc,AKGC417L
213_2p2_Pl_mc_AKGC417L.txt,213,2p2,Pl,mc,AKGC417L
159_1b1_Al_sc_Meditron.txt,159,1b1,Al,sc,Meditron
149_1b1_Lr_sc_Meditron.txt,149,1b1,Lr,sc,Meditron
160_1b4_Al_mc_AKGC417L.txt,160,1b4,Al,mc,AKGC417L
146_8p3_Al_mc_AKGC417L.txt,146,8p3,Al,mc,AKGC417L
174_1p3_Ll_mc_AKGC417L.txt,174,1p3,Ll,mc,AKGC417L
203_2p3_Ar_mc_AKGC417L.txt,203,2p3,Ar,mc,AKGC417L
211_1p3_Ar_mc_AKGC417L.txt,211,1p3,Ar,mc,AKGC417L
122_2b3_Al_mc_LittC2SE.txt,122,2b3,Al,mc,LittC2SE
146_2b2_Pl_mc_AKGC417L.txt,146,2b2,Pl,mc,AKGC417L
176_1b3_Al_mc_AKGC417L.txt,176,1b3,Al,mc,AKGC417L
138_1p4_Ll_mc_AKGC417L.txt,138,1p4,Ll,mc,AKGC417L
130_2b2_Al_mc_AKGC417L.txt,130,2b2,Al,mc,AKGC417L
147_2b4_Ll_mc_AKGC417L.txt,147,2b4,Ll,mc,AKGC417L
178_2b2_Lr_mc_AKGC417L.txt,178,2b2,Lr,mc,AKGC417L
205_1b3_Lr_mc_AKGC417L.txt,205,1b3,Lr,mc,AKGC417L
166_1p1_Ar_sc_Meditron.txt,166,1p1,Ar,sc,Meditron
213_1p3_Al_mc_AKGC417L.txt,213,1p3,Al,mc,AKGC417L
170_1b2_Ar_mc_AKGC417L.txt,170,1b2,Ar,mc,AKGC417L
170_1b2_Lr_mc_AKGC417L.txt,170,1b2,Lr,mc,AKGC417L
130_1p4_Ar_mc_AKGC417L.txt,130,1p4,Ar,mc,AKGC417L
156_5b3_Ll_mc_AKGC417L.txt,156,5b3,Ll,mc,AKGC417L
154_4b4_Pr_mc_AKGC417L.txt,154,4b4,Pr,mc,AKGC417L
218_1b1_Pr_sc_Meditron.txt,218,1b1,Pr,sc,Meditron
213_1p2_Pr_mc_AKGC417L.txt,213,1p2,Pr,mc,AKGC417L
180_1b4_Ar_mc_AKGC417L.txt,180,1b4,Ar,mc,AKGC417L
205_4b2_Lr_mc_AKGC417L.txt,205,4b2,Lr,mc,AKGC417L
142_1b1_Pl_mc_LittC2SE.txt,142,1b1,Pl,mc,LittC2SE
130_2p3_Pl_mc_AKGC417L.txt,130,2p3,Pl,mc,AKGC417L
107_2b5_Pl_mc_AKGC417L.txt,107,2b5,Pl,mc,AKGC417L
146_2b4_Lr_mc_AKGC417L.txt,146,2b4,Lr,mc,AKGC417L
178_1b3_Tc_mc_AKGC417L.txt,178,1b3,Tc,mc,AKGC417L
141_1b2_Ar_mc_LittC2SE.txt,141,1b2,Ar,mc,LittC2SE
203_1p3_Al_mc_AKGC417L.txt,203,1p3,Al,mc,AKGC417L
174_1p4_Pl_mc_AKGC417L.txt,174,1p4,Pl,mc,AKGC417L
177_2b4_Al_mc_AKGC417L.txt,177,2b4,Al,mc,AKGC417L
172_1b4_Ll_mc_AKGC417L.txt,172,1b4,Ll,mc,AKGC417L
226_1b1_Pl_sc_LittC2SE.txt,226,1b1,Pl,sc,LittC2SE
186_2b4_Al_mc_AKGC417L.txt,186,2b4,Al,mc,AKGC417L
130_3b4_Ar_mc_AKGC417L.txt,130,3b4,Ar,mc,AKGC417L
160_1b2_Al_mc_AKGC417L.txt,160,1b2,Al,mc,AKGC417L
104_1b1_Ar_sc_Litt3200.txt,104,1b1,Ar,sc,Litt3200
207_2b4_Ar_mc_AKGC417L.txt,207,2b4,Ar,mc,AKGC417L
198_1b5_Ll_mc_AKGC417L.txt,198,1b5,Ll,mc,AKGC417L
107_2b3_Al_mc_AKGC417L.txt,107,2b3,Al,mc,AKGC417L
184_1b1_Ar_sc_Meditron.txt,184,1b1,Ar,sc,Meditron
130_3b4_Pr_mc_AKGC417L.txt,130,3b4,Pr,mc,AKGC417L
223_1b1_Al_sc_Meditron.txt,223,1b1,Al,sc,Meditron
147_2b3_Ar_mc_AKGC417L.txt,147,2b3,Ar,mc,AKGC417L
126_1b1_Al_sc_Meditron.txt,126,1b1,Al,sc,Meditron
198_1b5_Pl_mc_AKGC417L.txt,198,1b5,Pl,mc,AKGC417L
176_2b3_Tc_mc_AKGC417L.txt,176,2b3,Tc,mc,AKGC417L
156_2b3_Lr_mc_AKGC417L.txt,156,2b3,Lr,mc,AKGC417L
107_2b4_Ll_mc_AKGC417L.txt,107,2b4,Ll,mc,AKGC417L
130_3p2_Tc_mc_AKGC417L.txt,130,3p2,Tc,mc,AKGC417L
133_2p4_Tc_mc_AKGC417L.txt,133,2p4,Tc,mc,AKGC417L
207_2b4_Pl_mc_AKGC417L.txt,207,2b4,Pl,mc,AKGC417L
154_2b4_Pr_mc_AKGC417L.txt,154,2b4,Pr,mc,AKGC417L
213_1p2_Pl_mc_AKGC417L.txt,213,1p2,Pl,mc,AKGC417L
205_2b3_Ll_mc_AKGC417L.txt,205,2b3,Ll,mc,AKGC417L
144_1b1_Al_sc_Meditron.txt,144,1b1,Al,sc,Meditron
125_1b1_Tc_sc_Meditron.txt,125,1b1,Tc,sc,Meditron
175_1b1_Al_sc_Litt3200.txt,175,1b1,Al,sc,Litt3200
154_1b3_Al_mc_AKGC417L.txt,154,1b3,Al,mc,AKGC417L
210_1b1_Ar_sc_Meditron.txt,210,1b1,Ar,sc,Meditron
139_1b1_Ar_sc_Litt3200.txt,139,1b1,Ar,sc,Litt3200
130_3p3_Al_mc_AKGC417L.txt,130,3p3,Al,mc,AKGC417L
158_1p2_Tc_mc_AKGC417L.txt,158,1p2,Tc,mc,AKGC417L
177_1b2_Tc_mc_AKGC417L.txt,177,1b2,Tc,mc,AKGC417L
154_1b3_Tc_mc_AKGC417L.txt,154,1b3,Tc,mc,AKGC417L
138_1p4_Ar_mc_AKGC417L.txt,138,1p4,Ar,mc,AKGC417L
186_2b4_Pl_mc_AKGC417L.txt,186,2b4,Pl,mc,AKGC417L
189_1b2_Lr_mc_LittC2SE.txt,189,1b2,Lr,mc,LittC2SE
138_1p3_Tc_mc_AKGC417L.txt,138,1p3,Tc,mc,AKGC417L
174_1p2_Pl_mc_AKGC417L.txt,174,1p2,Pl,mc,AKGC417L
176_1b4_Ll_mc_AKGC417L.txt,176,1b4,Ll,mc,AKGC417L
203_1p2_Pr_mc_AKGC417L.txt,203,1p2,Pr,mc,AKGC417L
133_2p3_Tc_mc_AKGC417L.txt,133,2p3,Tc,mc,AKGC417L
107_2b3_Pl_mc_AKGC417L.txt,107,2b3,Pl,mc,AKGC417L
110_1p1_Pr_sc_Meditron.txt,110,1p1,Pr,sc,Meditron
158_1p2_Lr_mc_AKGC417L.txt,158,1p2,Lr,mc,AKGC417L
168_1b1_Al_sc_Meditron.txt,168,1b1,Al,sc,Meditron
138_1p3_Pr_mc_AKGC417L.txt,138,1p3,Pr,mc,AKGC417L
218_1p1_Pl_sc_Litt3200.txt,218,1p1,Pl,sc,Litt3200
146_2b4_Ll_mc_AKGC417L.txt,146,2b4,Ll,mc,AKGC417L
213_1p5_Pr_mc_AKGC417L.txt,213,1p5,Pr,mc,AKGC417L
163_2b2_Al_mc_AKGC417L.txt,163,2b2,Al,mc,AKGC417L
204_7p5_Al_mc_AKGC417L.txt,204,7p5,Al,mc,AKGC417L
154_1b3_Pr_mc_AKGC417L.txt,154,1b3,Pr,mc,AKGC417L
169_1b1_Lr_sc_Meditron.txt,169,1b1,Lr,sc,Meditron
204_7p5_Ar_mc_AKGC417L.txt,204,7p5,Ar,mc,AKGC417L
174_1p4_Pr_mc_AKGC417L.txt,174,1p4,Pr,mc,AKGC417L
208_1b1_Ll_sc_Meditron.txt,208,1b1,Ll,sc,Meditron
137_1b1_Ar_sc_Meditron.txt,137,1b1,Ar,sc,Meditron
130_2b4_Ll_mc_AKGC417L.txt,130,2b4,Ll,mc,AKGC417L
118_1b1_Al_sc_Litt3200.txt,118,1b1,Al,sc,Litt3200
135_2b1_Al_mc_LittC2SE.txt,135,2b1,Al,mc,LittC2SE
173_1b1_Al_sc_Meditron.txt,173,1b1,Al,sc,Meditron
167_1b1_Pr_sc_Meditron.txt,167,1b1,Pr,sc,Meditron
107_2b5_Ar_mc_AKGC417L.txt,107,2b5,Ar,mc,AKGC417L
178_1b2_Tc_mc_AKGC417L.txt,178,1b2,Tc,mc,AKGC417L
172_1b5_Al_mc_AKGC417L.txt,172,1b5,Al,mc,AKGC417L
200_2p4_Lr_mc_AKGC417L.txt,200,2p4,Lr,mc,AKGC417L
158_1p2_Ll_mc_AKGC417L.txt,158,1p2,Ll,mc,AKGC417L
195_1b1_Ar_sc_Litt3200.txt,195,1b1,Ar,sc,Litt3200
188_1b1_Tc_sc_Meditron.txt,188,1b1,Tc,sc,Meditron
151_2p4_Pr_mc_AKGC417L.txt,151,2p4,Pr,mc,AKGC417L
134_2b2_Ar_mc_LittC2SE.txt,134,2b2,Ar,mc,LittC2SE
151_2p4_Tc_mc_AKGC417L.txt,151,2p4,Tc,mc,AKGC417L
147_2b3_Ll_mc_AKGC417L.txt,147,2b3,Ll,mc,AKGC417L
139_1b1_Lr_sc_Litt3200.txt,139,1b1,Lr,sc,Litt3200
169_1b2_Ll_sc_Meditron.txt,169,1b2,Ll,sc,Meditron
200_2p4_Pr_mc_AKGC417L.txt,200,2p4,Pr,mc,AKGC417L
114_1b4_Lr_mc_AKGC417L.txt,114,1b4,Lr,mc,AKGC417L
157_1b1_Ar_sc_Meditron.txt,157,1b1,Ar,sc,Meditron
146_8p3_Lr_mc_AKGC417L.txt,146,8p3,Lr,mc,AKGC417L
174_1p2_Tc_mc_AKGC417L.txt,174,1p2,Tc,mc,AKGC417L
200_2p3_Al_mc_AKGC417L.txt,200,2p3,Al,mc,AKGC417L
177_1b2_Pl_mc_AKGC417L.txt,177,1b2,Pl,mc,AKGC417L
147_1b3_Tc_mc_AKGC417L.txt,147,1b3,Tc,mc,AKGC417L
193_7b3_Ll_mc_AKGC417L.txt,193,7b3,Ll,mc,AKGC417L
158_1p4_Pl_mc_AKGC417L.txt,158,1p4,Pl,mc,AKGC417L
151_3p2_Pl_mc_AKGC417L.txt,151,3p2,Pl,mc,AKGC417L
163_2b2_Pr_mc_AKGC417L.txt,163,2b2,Pr,mc,AKGC417L
170_1b2_Pl_mc_AKGC417L.txt,170,1b2,Pl,mc,AKGC417L
151_3p2_Lr_mc_AKGC417L.txt,151,3p2,Lr,mc,AKGC417L
198_6p1_Ll_mc_AKGC417L.txt,198,6p1,Ll,mc,AKGC417L
107_2b5_Al_mc_AKGC417L.txt,107,2b5,Al,mc,AKGC417L
200_3p4_Pr_mc_AKGC417L.txt,200,3p4,Pr,mc,AKGC417L
205_2b3_Ar_mc_AKGC417L.txt,205,2b3,Ar,mc,AKGC417L
222_1b1_Pr_sc_Meditron.txt,222,1b1,Pr,sc,Meditron
138_2p2_Ar_mc_AKGC417L.txt,138,2p2,Ar,mc,AKGC417L
130_3b3_Ll_mc_AKGC417L.txt,130,3b3,Ll,mc,AKGC417L
151_2p2_Pl_mc_AKGC417L.txt,151,2p2,Pl,mc,AKGC417L
185_1b1_Al_sc_Litt3200.txt,185,1b1,Al,sc,Litt3200
172_1b5_Tc_mc_AKGC417L.txt,172,1b5,Tc,mc,AKGC417L
172_2b5_Ar_mc_AKGC417L.txt,172,2b5,Ar,mc,AKGC417L
221_2b3_Al_mc_LittC2SE.txt,221,2b3,Al,mc,LittC2SE
200_2p4_Pl_mc_AKGC417L.txt,200,2p4,Pl,mc,AKGC417L
151_2p3_Lr_mc_AKGC417L.txt,151,2p3,Lr,mc,AKGC417L
151_2p2_Tc_mc_AKGC417L.txt,151,2p2,Tc,mc,AKGC417L
205_2b2_Pr_mc_AKGC417L.txt,205,2b2,Pr,mc,AKGC417L
160_1b2_Tc_mc_AKGC417L.txt,160,1b2,Tc,mc,AKGC417L
140_2b3_Tc_mc_LittC2SE.txt,140,2b3,Tc,mc,LittC2SE
207_2b2_Al_mc_AKGC417L.txt,207,2b2,Al,mc,AKGC417L
215_1b2_Ar_sc_Meditron.txt,215,1b2,Ar,sc,Meditron
138_1p2_Ar_mc_AKGC417L.txt,138,1p2,Ar,mc,AKGC417L
174_1p4_Ar_mc_AKGC417L.txt,174,1p4,Ar,mc,AKGC417L
178_1b2_Pl_mc_AKGC417L.txt,178,1b2,Pl,mc,AKGC417L
203_1p2_Al_mc_AKGC417L.txt,203,1p2,Al,mc,AKGC417L
154_2b4_Pl_mc_AKGC417L.txt,154,2b4,Pl,mc,AKGC417L
146_2b4_Al_mc_AKGC417L.txt,146,2b4,Al,mc,AKGC417L
120_1b1_Pr_sc_Meditron.txt,120,1b1,Pr,sc,Meditron
194_1b1_Lr_sc_Meditron.txt,194,1b1,Lr,sc,Meditron
138_1p3_Ll_mc_AKGC417L.txt,138,1p3,Ll,mc,AKGC417L
224_1b2_Al_sc_Meditron.txt,224,1b2,Al,sc,Meditron
162_2b3_Tc_mc_AKGC417L.txt,162,2b3,Tc,mc,AKGC417L
135_2b1_Ar_mc_LittC2SE.txt,135,2b1,Ar,mc,LittC2SE
130_1p2_Pl_mc_AKGC417L.txt,130,1p2,Pl,mc,AKGC417L
207_3b2_Pl_mc_AKGC417L.txt,207,3b2,Pl,mc,AKGC417L
178_1b6_Pl_mc_AKGC417L.txt,178,1b6,Pl,mc,AKGC417L
200_2p3_Ar_mc_AKGC417L.txt,200,2p3,Ar,mc,AKGC417L
166_1p1_Pr_sc_Meditron.txt,166,1p1,Pr,sc,Meditron
200_2p3_Tc_mc_AKGC417L.txt,200,2p3,Tc,mc,AKGC417L
107_2b5_Pr_mc_AKGC417L.txt,107,2b5,Pr,mc,AKGC417L
181_1b2_Ar_mc_LittC2SE.txt,181,1b2,Ar,mc,LittC2SE
138_1p3_Al_mc_AKGC417L.txt,138,1p3,Al,mc,AKGC417L
213_1p3_Pl_mc_AKGC417L.txt,213,1p3,Pl,mc,AKGC417L
182_1b1_Tc_sc_Meditron.txt,182,1b1,Tc,sc,Meditron
214_1b1_Ar_sc_Meditron.txt,214,1b1,Ar,sc,Meditron
210_1b1_Al_sc_Meditron.txt,210,1b1,Al,sc,Meditron
207_3b2_Pr_mc_AKGC417L.txt,207,3b2,Pr,mc,AKGC417L
177_2b4_Pr_mc_AKGC417L.txt,177,2b4,Pr,mc,AKGC417L
200_2p2_Pl_mc_AKGC417L.txt,200,2p2,Pl,mc,AKGC417L
172_2b5_Pr_mc_AKGC417L.txt,172,2b5,Pr,mc,AKGC417L
154_2b4_Ll_mc_AKGC417L.txt,154,2b4,Ll,mc,AKGC417L
178_1b3_Ar_mc_AKGC417L.txt,178,1b3,Ar,mc,AKGC417L
170_1b2_Pr_mc_AKGC417L.txt,170,1b2,Pr,mc,AKGC417L
131_1b1_Al_sc_Meditron.txt,131,1b1,Al,sc,Meditron
192_2b1_Al_mc_LittC2SE.txt,192,2b1,Al,mc,LittC2SE
198_1b5_Lr_mc_AKGC417L.txt,198,1b5,Lr,mc,AKGC417L
176_2b3_Pl_mc_AKGC417L.txt,176,2b3,Pl,mc,AKGC417L
133_2p2_Tc_mc_AKGC417L.txt,133,2p2,Tc,mc,AKGC417L
160_1b3_Tc_mc_AKGC417L.txt,160,1b3,Tc,mc,AKGC417L
183_1b1_Tc_sc_Meditron.txt,183,1b1,Tc,sc,Meditron
203_1p2_Tc_mc_AKGC417L.txt,203,1p2,Tc,mc,AKGC417L
149_1b1_Pl_sc_Meditron.txt,149,1b1,Pl,sc,Meditron
170_1b3_Al_mc_AKGC417L.txt,170,1b3,Al,mc,AKGC417L
147_2b3_Pl_mc_AKGC417L.txt,147,2b3,Pl,mc,AKGC417L
158_1p4_Tc_mc_AKGC417L.txt,158,1p4,Tc,mc,AKGC417L
205_3b4_Pl_mc_AKGC417L.txt,205,3b4,Pl,mc,AKGC417L
195_1b1_Lr_sc_Litt3200.txt,195,1b1,Lr,sc,Litt3200
158_1p2_Pl_mc_AKGC417L.txt,158,1p2,Pl,mc,AKGC417L
174_2p3_Tc_mc_AKGC417L.txt,174,2p3,Tc,mc,AKGC417L
122_2b3_Ar_mc_LittC2SE.txt,122,2b3,Ar,mc,LittC2SE
177_1b2_Ar_mc_AKGC417L.txt,177,1b2,Ar,mc,AKGC417L
