txt,pn,A,B,C,device
207_2b2_Tc_mc_AKGC417L.txt,207,2b2,Tc,mc,AKGC417L
181_1b1_Tc_mc_LittC2SE.txt,181,1b1,Tc,mc,LittC2SE
205_1b3_Pr_mc_AKGC417L.txt,205,1b3,Pr,mc,AKGC417L
130_1p4_Lr_mc_AKGC417L.txt,130,1p4,Lr,mc,AKGC417L
213_1p3_Ar_mc_AKGC417L.txt,213,1p3,Ar,mc,AKGC417L
195_1b1_Pr_sc_Litt3200.txt,195,1b1,Pr,sc,Litt3200
220_1b2_Al_mc_LittC2SE.txt,220,1b2,Al,mc,LittC2SE
177_1b4_Tc_mc_AKGC417L.txt,177,1b4,Tc,mc,AKGC417L
175_1b1_Lr_sc_Litt3200.txt,175,1b1,Lr,sc,Litt3200
212_2b2_Tc_mc_LittC2SE.txt,212,2b2,Tc,mc,LittC2SE
198_6p1_Lr_mc_AKGC417L.txt,198,6p1,Lr,mc,AKGC417L
170_1b4_Pr_mc_AKGC417L.txt,170,1b4,Pr,mc,AKGC417L
156_8b3_Ll_mc_AKGC417L.txt,156,8b3,Ll,mc,AKGC417L
162_2b3_Pr_mc_AKGC417L.txt,162,2b3,Pr,mc,AKGC417L
207_2b3_Pr_mc_AKGC417L.txt,207,2b3,Pr,mc,AKGC417L
158_1p2_Pr_mc_AKGC417L.txt,158,1p2,Pr,mc,AKGC417L
218_1p1_Ar_sc_Litt3200.txt,218,1p1,Ar,sc,Litt3200
193_1b4_Lr_mc_AKGC417L.txt,193,1b4,Lr,mc,AKGC417L
130_1p4_Pr_mc_AKGC417L.txt,130,1p4,Pr,mc,AKGC417L
176_1b3_Pr_mc_AKGC417L.txt,176,1b3,Pr,mc,AKGC417L
162_1b2_Al_mc_AKGC417L.txt,162,1b2,Al,mc,AKGC417L
163_2b2_Tc_mc_AKGC417L.txt,163,2b2,Tc,mc,AKGC417L
114_1b4_Pl_mc_AKGC417L.txt,114,1b4,Pl,mc,AKGC417L
116_1b2_Tc_sc_Meditron.txt,116,1b2,Tc,sc,Meditron
113_1b1_Ar_sc_Litt3200.txt,113,1b1,Ar,sc,Litt3200
130_3p2_Al_mc_AKGC417L.txt,130,3p2,Al,mc,AKGC417L
201_1b2_Al_sc_Meditron.txt,201,1b2,Al,sc,Meditron
160_1b3_Lr_mc_AKGC417L.txt,160,1b3,Lr,mc,AKGC417L
170_1b2_Al_mc_AKGC417L.txt,170,1b2,Al,mc,AKGC417L
120_1b1_Lr_sc_Meditron.txt,120,1b1,Lr,sc,Meditron
198_1b5_Pr_mc_AKGC417L.txt,198,1b5,Pr,mc,AKGC417L
135_2b3_Pl_mc_LittC2SE.txt,135,2b3,Pl,mc,LittC2SE
218_1b1_Pl_sc_Meditron.txt,218,1b1,Pl,sc,Meditron
186_2b3_Ar_mc_AKGC417L.txt,186,2b3,Ar,mc,AKGC417L
130_2p5_Tc_mc_AKGC417L.txt,130,2p5,Tc,mc,AKGC417L
109_1b1_Pr_sc_Litt3200.txt,109,1b1,Pr,sc,Litt3200
162_2b4_Tc_mc_AKGC417L.txt,162,2b4,Tc,mc,AKGC417L
213_1p5_Al_mc_AKGC417L.txt,213,1p5,Al,mc,AKGC417L
205_3b4_Pr_mc_AKGC417L.txt,205,3b4,Pr,mc,AKGC417L
203_1p4_Ar_mc_AKGC417L.txt,203,1p4,Ar,mc,AKGC417L
160_1b2_Pr_mc_AKGC417L.txt,160,1b2,Pr,mc,AKGC417L
147_2b4_Lr_mc_AKGC417L.txt,147,2b4,Lr,mc,AKGC417L
112_1b1_Lr_sc_Meditron.txt,112,1b1,Lr,sc,Meditron
186_2b3_Al_mc_AKGC417L.txt,186,2b3,Al,mc,AKGC417L
154_2b4_Tc_mc_AKGC417L.txt,154,2b4,Tc,mc,AKGC417L
139_1b1_Ll_sc_Litt3200.txt,139,1b1,Ll,sc,Litt3200
158_1p4_Pr_mc_AKGC417L.txt,158,1p4,Pr,mc,AKGC417L
177_1b4_Pr_mc_AKGC417L.txt,177,1b4,Pr,mc,AKGC417L
192_2b3_Al_mc_LittC2SE.txt,192,2b3,Al,mc,LittC2SE
147_2b2_Ar_mc_AKGC417L.txt,147,2b2,Ar,mc,AKGC417L
217_1b1_Tc_sc_Meditron.txt,217,1b1,Tc,sc,Meditron
177_1b4_Lr_mc_AKGC417L.txt,177,1b4,Lr,mc,AKGC417L
162_2b4_Pl_mc_AKGC417L.txt,162,2b4,Pl,mc,AKGC417L
163_2b2_Pl_mc_AKGC417L.txt,163,2b2,Pl,mc,AKGC417L
185_1b1_Pl_sc_Litt3200.txt,185,1b1,Pl,sc,Litt3200
150_1b2_Al_sc_Meditron.txt,150,1b2,Al,sc,Meditron
215_1b3_Tc_sc_Meditron.txt,215,1b3,Tc,sc,Meditron
122_2b1_Ar_mc_LittC2SE.txt,122,2b1,Ar,mc,LittC2SE
175_1b1_Pl_sc_Litt3200.txt,175,1b1,Pl,sc,Litt3200
133_2p4_Pl_mc_AKGC417L.txt,133,2p4,Pl,mc,AKGC417L
133_2p4_Al_mc_AKGC417L.txt,133,2p4,Al,mc,AKGC417L
151_2p3_Pr_mc_AKGC417L.txt,151,2p3,Pr,mc,AKGC417L
221_2b3_Lr_mc_LittC2SE.txt,221,2b3,Lr,mc,LittC2SE
104_1b1_Ll_sc_Litt3200.txt,104,1b1,Ll,sc,Litt3200
118_1b1_Pr_sc_Litt3200.txt,118,1b1,Pr,sc,Litt3200
207_2b3_Al_mc_AKGC417L.txt,207,2b3,Al,mc,AKGC417L
205_1b3_Pl_mc_AKGC417L.txt,205,1b3,Pl,mc,AKGC417L
133_2p3_Pr_mc_AKGC417L.txt,133,2p3,Pr,mc,AKGC417L
174_1p4_Lr_mc_AKGC417L.txt,174,1p4,Lr,mc,AKGC417L
174_1p3_Ar_mc_AKGC417L.txt,174,1p3,Ar,mc,AKGC417L
130_1p4_Pl_mc_AKGC417L.txt,130,1p4,Pl,mc,AKGC417L
141_1b3_Ar_mc_LittC2SE.txt,141,1b3,Ar,mc,LittC2SE
186_2b4_Lr_mc_AKGC417L.txt,186,2b4,Lr,mc,AKGC417L
130_3p3_Tc_mc_AKGC417L.txt,130,3p3,Tc,mc,AKGC417L
178_2b2_Pr_mc_AKGC417L.txt,178,2b2,Pr,mc,AKGC417L
104_1b1_Lr_sc_Litt3200.txt,104,1b1,Lr,sc,Litt3200
106_2b1_Pl_mc_LittC2SE.txt,106,2b1,Pl,mc,LittC2SE
130_1p2_Tc_mc_AKGC417L.txt,130,1p2,Tc,mc,AKGC417L
186_2b3_Pr_mc_AKGC417L.txt,186,2b3,Pr,mc,AKGC417L
156_5b3_Pr_mc_AKGC417L.txt,156,5b3,Pr,mc,AKGC417L
158_1p3_Al_mc_AKGC417L.txt,158,1p3,Al,mc,AKGC417L
203_1p3_Pl_mc_AKGC417L.txt,203,1p3,Pl,mc,AKGC417L
163_8b3_Ar_mc_AKGC417L.txt,163,8b3,Ar,mc,AKGC417L
223_1b1_Ar_sc_Meditron.txt,223,1b1,Ar,sc,Meditron
181_1b1_Ar_mc_LittC2SE.txt,181,1b1,Ar,mc,LittC2SE
162_2b4_Lr_mc_AKGC417L.txt,162,2b4,Lr,mc,AKGC417L
202_1b1_Ar_sc_Meditron.txt,202,1b1,Ar,sc,Meditron
132_2b1_Lr_mc_LittC2SE.txt,132,2b1,Lr,mc,LittC2SE
138_1p4_Pr_mc_AKGC417L.txt,138,1p4,Pr,mc,AKGC417L
145_3b2_Lr_mc_AKGC417L.txt,145,3b2,Lr,mc,AKGC417L
110_1p1_Ll_sc_Meditron.txt,110,1p1,Ll,sc,Meditron
174_1p3_Pr_mc_AKGC417L.txt,174,1p3,Pr,mc,AKGC417L
145_3b2_Ar_mc_AKGC417L.txt,145,3b2,Ar,mc,AKGC417L
138_2p2_Pl_mc_AKGC417L.txt,138,2p2,Pl,mc,AKGC417L
219_2b1_Tc_mc_LittC2SE.txt,219,2b1,Tc,mc,LittC2SE
164_1b1_Ll_sc_Meditron.txt,164,1b1,Ll,sc,Meditron
175_1b1_Pr_sc_Litt3200.txt,175,1b1,Pr,sc,Litt3200
201_1b1_Al_sc_Meditron.txt,201,1b1,Al,sc,Meditron
144_1b1_Tc_sc_Meditron.txt,144,1b1,Tc,sc,Meditron
203_2p3_Tc_mc_AKGC417L.txt,203,2p3,Tc,mc,AKGC417L
138_1p3_Ar_mc_AKGC417L.txt,138,1p3,Ar,mc,AKGC417L
219_2b2_Ar_mc_LittC2SE.txt,219,2b2,Ar,mc,LittC2SE
175_1b1_Ll_sc_Litt3200.txt,175,1b1,Ll,sc,Litt3200
219_2b1_Ar_mc_LittC2SE.txt,219,2b1,Ar,mc,LittC2SE
138_1p2_Lr_mc_AKGC417L.txt,138,1p2,Lr,mc,AKGC417L
130_3p2_Pl_mc_AKGC417L.txt,130,3p2,Pl,mc,AKGC417L
133_2p3_Ar_mc_AKGC417L.txt,133,2p3,Ar,mc,AKGC417L
107_2b3_Ll_mc_AKGC417L.txt,107,2b3,Ll,mc,AKGC417L
200_2p2_Pr_mc_AKGC417L.txt,200,2p2,Pr,mc,AKGC417L
138_2p2_Pr_mc_AKGC417L.txt,138,2p2,Pr,mc,AKGC417L
156_8b3_Pl_mc_AKGC417L.txt,156,8b3,Pl,mc,AKGC417L
186_3b3_Pr_mc_AKGC417L.txt,186,3b3,Pr,mc,AKGC417L
124_1b1_Pl_sc_Litt3200.txt,124,1b1,Pl,sc,Litt3200
119_1b1_Ar_sc_Meditron.txt,119,1b1,Ar,sc,Meditron
222_1b1_Ar_sc_Meditron.txt,222,1b1,Ar,sc,Meditron
158_2p3_Lr_mc_AKGC417L.txt,158,2p3,Lr,mc,AKGC417L
154_3b3_Ar_mc_AKGC417L.txt,154,3b3,Ar,mc,AKGC417L
154_4b4_Ll_mc_AKGC417L.txt,154,4b4,Ll,mc,AKGC417L
193_7b3_Al_mc_AKGC417L.txt,193,7b3,Al,mc,AKGC417L
207_2b3_Pl_mc_AKGC417L.txt,207,2b3,Pl,mc,AKGC417L
162_2b2_Pl_mc_AKGC417L.txt,162,2b2,Pl,mc,AKGC417L
192_2b2_Al_mc_LittC2SE.txt,192,2b2,Al,mc,LittC2SE
198_1b5_Al_mc_AKGC417L.txt,198,1b5,Al,mc,AKGC417L
185_1b1_Ar_sc_Litt3200.txt,185,1b1,Ar,sc,Litt3200
204_2b5_Ar_mc_AKGC417L.txt,204,2b5,Ar,mc,AKGC417L
205_4b2_Al_mc_AKGC417L.txt,205,4b2,Al,mc,AKGC417L
154_4b4_Al_mc_AKGC417L.txt,154,4b4,Al,mc,AKGC417L
134_2b2_Al_mc_LittC2SE.txt,134,2b2,Al,mc,LittC2SE
107_2b4_Al_mc_AKGC417L.txt,107,2b4,Al,mc,AKGC417L
188_1b1_Al_sc_Meditron.txt,188,1b1,Al,sc,Meditron
213_1p2_Lr_mc_AKGC417L.txt,213,1p2,Lr,mc,AKGC417L
176_2b3_Ll_mc_AKGC417L.txt,176,2b3,Ll,mc,AKGC417L
122_2b3_Tc_mc_LittC2SE.txt,122,2b3,Tc,mc,LittC2SE
180_1b4_Lr_mc_AKGC417L.txt,180,1b4,Lr,mc,AKGC417L
195_1b1_Pl_sc_Litt3200.txt,195,1b1,Pl,sc,Litt3200
138_1p4_Tc_mc_AKGC417L.txt,138,1p4,Tc,mc,AKGC417L
151_2p3_Pl_mc_AKGC417L.txt,151,2p3,Pl,mc,AKGC417L
162_2b4_Al_mc_AKGC417L.txt,162,2b4,Al,mc,AKGC417L
179_1b1_Al_sc_Meditron.txt,179,1b1,Al,sc,Meditron
193_7b3_Pl_mc_AKGC417L.txt,193,7b3,Pl,mc,AKGC417L
114_1b4_Ar_mc_AKGC417L.txt,114,1b4,Ar,mc,AKGC417L
118_1b1_Ll_sc_Litt3200.txt,118,1b1,Ll,sc,Litt3200
205_2b4_Pl_mc_AKGC417L.txt,205,2b4,Pl,mc,AKGC417L
124_1b1_Lr_sc_Litt3200.txt,124,1b1,Lr,sc,Litt3200
192_2b1_Ar_mc_LittC2SE.txt,192,2b1,Ar,mc,LittC2SE
211_1p2_Pr_mc_AKGC417L.txt,211,1p2,Pr,mc,AKGC417L
186_2b2_Al_mc_AKGC417L.txt,186,2b2,Al,mc,AKGC417L
122_2b1_Tc_mc_LittC2SE.txt,122,2b1,Tc,mc,LittC2SE
109_1b1_Lr_sc_Litt3200.txt,109,1b1,Lr,sc,Litt3200
221_2b3_Ar_mc_LittC2SE.txt,221,2b3,Ar,mc,LittC2SE
133_2p2_Pl_mc_AKGC417L.txt,133,2p2,Pl,mc,AKGC417L
163_8b3_Al_mc_AKGC417L.txt,163,8b3,Al,mc,AKGC417L
130_1p3_Tc_mc_AKGC417L.txt,130,1p3,Tc,mc,AKGC417L
204_7p5_Tc_mc_AKGC417L.txt,204,7p5,Tc,mc,AKGC417L
110_1p1_Lr_sc_Meditron.txt,110,1p1,Lr,sc,Meditron
159_1b1_Ll_sc_Meditron.txt,159,1b1,Ll,sc,Meditron
154_3b3_Ll_mc_AKGC417L.txt,154,3b3,Ll,mc,AKGC417L
200_3p4_Ar_mc_AKGC417L.txt,200,3p4,Ar,mc,AKGC417L
156_5b3_Lr_mc_AKGC417L.txt,156,5b3,Lr,mc,AKGC417L
172_2b5_Lr_mc_AKGC417L.txt,172,2b5,Lr,mc,AKGC417L
130_2b4_Al_mc_AKGC417L.txt,130,2b4,Al,mc,AKGC417L
133_3p2_Pr_mc_AKGC417L.txt,133,3p2,Pr,mc,AKGC417L
172_1b5_Ar_mc_AKGC417L.txt,172,1b5,Ar,mc,AKGC417L
203_1p3_Pr_mc_AKGC417L.txt,203,1p3,Pr,mc,AKGC417L
162_1b2_Ll_mc_AKGC417L.txt,162,1b2,Ll,mc,AKGC417L
221_2b2_Pl_mc_LittC2SE.txt,221,2b2,Pl,mc,LittC2SE
197_1b1_Tc_sc_Meditron.txt,197,1b1,Tc,sc,Meditron
157_1b1_Lr_sc_Meditron.txt,157,1b1,Lr,sc,Meditron
147_2b2_Pl_mc_AKGC417L.txt,147,2b2,Pl,mc,AKGC417L
200_2p2_Al_mc_AKGC417L.txt,200,2p2,Al,mc,AKGC417L
161_1b1_Al_sc_Meditron.txt,161,1b1,Al,sc,Meditron
145_3b4_Pl_mc_AKGC417L.txt,145,3b4,Pl,mc,AKGC417L
171_1b1_Al_sc_Meditron.txt,171,1b1,Al,sc,Meditron
158_1p3_Pr_mc_AKGC417L.txt,158,1p3,Pr,mc,AKGC417L
162_1b2_Pr_mc_AKGC417L.txt,162,1b2,Pr,mc,AKGC417L
194_1b1_Pr_sc_Meditron.txt,194,1b1,Pr,sc,Meditron
130_2b2_Pl_mc_AKGC417L.txt,130,2b2,Pl,mc,AKGC417L
211_2p2_Tc_mc_AKGC417L.txt,211,2p2,Tc,mc,AKGC417L
221_2b1_Al_mc_LittC2SE.txt,221,2b1,Al,mc,LittC2SE
203_1p4_Tc_mc_AKGC417L.txt,203,1p4,Tc,mc,AKGC417L
200_2p3_Pl_mc_AKGC417L.txt,200,2p3,Pl,mc,AKGC417L
138_1p3_Lr_mc_AKGC417L.txt,138,1p3,Lr,mc,AKGC417L
120_1b1_Ar_sc_Meditron.txt,120,1b1,Ar,sc,Meditron
105_1b1_Tc_sc_Meditron.txt,105,1b1,Tc,sc,Meditron
204_7p5_Ll_mc_AKGC417L.txt,204,7p5,Ll,mc,AKGC417L
146_8p3_Pl_mc_AKGC417L.txt,146,8p3,Pl,mc,AKGC417L
146_8p3_Ar_mc_AKGC417L.txt,146,8p3,Ar,mc,AKGC417L
162_1b2_Ar_mc_AKGC417L.txt,162,1b2,Ar,mc,AKGC417L
165_1b1_Pr_sc_Meditron.txt,165,1b1,Pr,sc,Meditron
178_1b3_Pr_mc_AKGC417L.txt,178,1b3,Pr,mc,AKGC417L
158_1p2_Ar_mc_AKGC417L.txt,158,1p2,Ar,mc,AKGC417L
170_1b4_Al_mc_AKGC417L.txt,170,1b4,Al,mc,AKGC417L
130_3p3_Pr_mc_AKGC417L.txt,130,3p3,Pr,mc,AKGC417L
130_2b2_Ar_mc_AKGC417L.txt,130,2b2,Ar,mc,AKGC417L
154_1b3_Pl_mc_AKGC417L.txt,154,1b3,Pl,mc,AKGC417L
107_3p2_Pr_mc_AKGC417L.txt,107,3p2,Pr,mc,AKGC417L
151_2p3_Ll_mc_AKGC417L.txt,151,2p3,Ll,mc,AKGC417L
113_1b1_Al_sc_Litt3200.txt,113,1b1,Al,sc,Litt3200
193_1b2_Pl_mc_AKGC417L.txt,193,1b2,Pl,mc,AKGC417L
174_1p2_Ll_mc_AKGC417L.txt,174,1p2,Ll,mc,AKGC417L
151_2p2_Al_mc_AKGC417L.txt,151,2p2,Al,mc,AKGC417L
170_1b3_Ll_mc_AKGC417L.txt,170,1b3,Ll,mc,AKGC417L
186_3b3_Tc_mc_AKGC417L.txt,186,3b3,Tc,mc,AKGC417L
176_2b3_Pr_mc_AKGC417L.txt,176,2b3,Pr,mc,AKGC417L
147_1b2_Tc_mc_AKGC417L.txt,147,1b2,Tc,mc,AKGC417L
176_1b4_Ar_mc_AKGC417L.txt,176,1b4,Ar,mc,AKGC417L
176_2b3_Lr_mc_AKGC417L.txt,176,2b3,Lr,mc,AKGC417L
146_8p3_Pr_mc_AKGC417L.txt,146,8p3,Pr,mc,AKGC417L
200_2p4_Al_mc_AKGC417L.txt,200,2p4,Al,mc,AKGC417L
160_1b3_Ar_mc_AKGC417L.txt,160,1b3,Ar,mc,AKGC417L
112_1p1_Ll_sc_Litt3200.txt,112,1p1,Ll,sc,Litt3200
192_2b3_Ar_mc_LittC2SE.txt,192,2b3,Ar,mc,LittC2SE
207_2b4_Al_mc_AKGC417L.txt,207,2b4,Al,mc,AKGC417L
158_1p3_Tc_mc_AKGC417L.txt,158,1p3,Tc,mc,AKGC417L
124_1b1_Pr_sc_Litt3200.txt,124,1b1,Pr,sc,Litt3200
110_1p1_Al_sc_Meditron.txt,110,1p1,Al,sc,Meditron
193_1b2_Tc_mc_AKGC417L.txt,193,1b2,Tc,mc,AKGC417L
107_2b4_Lr_mc_AKGC417L.txt,107,2b4,Lr,mc,AKGC417L
154_4b4_Lr_mc_AKGC417L.txt,154,4b4,Lr,mc,AKGC417L
213_1p2_Ar_mc_AKGC417L.txt,213,1p2,Ar,mc,AKGC417L
175_1b1_Ar_sc_Litt3200.txt,175,1b1,Ar,sc,Litt3200
130_2b2_Pr_mc_AKGC417L.txt,130,2b2,Pr,mc,AKGC417L
170_1b2_Tc_mc_AKGC417L.txt,170,1b2,Tc,mc,AKGC417L
158_1p3_Ar_mc_AKGC417L.txt,158,1p3,Ar,mc,AKGC417L
198_6p1_Ar_mc_AKGC417L.txt,198,6p1,Ar,mc,AKGC417L
130_3p3_Pl_mc_AKGC417L.txt,130,3p3,Pl,mc,AKGC417L
178_1b6_Lr_mc_AKGC417L.txt,178,1b6,Lr,mc,AKGC417L
180_1b4_Pr_mc_AKGC417L.txt,180,1b4,Pr,mc,AKGC417L
170_1b3_Tc_mc_AKGC417L.txt,170,1b3,Tc,mc,AKGC417L
158_1p4_Ar_mc_AKGC417L.txt,158,1p4,Ar,mc,AKGC417L
213_2p2_Al_mc_AKGC417L.txt,213,2p2,Al,mc,AKGC417L
170_1b3_Lr_mc_AKGC417L.txt,170,1b3,Lr,mc,AKGC417L
174_2p3_Pl_mc_AKGC417L.txt,174,2p3,Pl,mc,AKGC417L
130_1p2_Ar_mc_AKGC417L.txt,130,1p2,Ar,mc,AKGC417L
141_1b3_Pr_mc_LittC2SE.txt,141,1b3,Pr,mc,LittC2SE
172_1b5_Lr_mc_AKGC417L.txt,172,1b5,Lr,mc,AKGC417L
133_3p2_Pl_mc_AKGC417L.txt,133,3p2,Pl,mc,AKGC417L
174_1p3_Lr_mc_AKGC417L.txt,174,1p3,Lr,mc,AKGC417L
133_3p2_Al_mc_AKGC417L.txt,133,3p2,Al,mc,AKGC417L
191_2b1_Pr_mc_LittC2SE.txt,191,2b1,Pr,mc,LittC2SE
113_1b1_Lr_sc_Litt3200.txt,113,1b1,Lr,sc,Litt3200
158_2p2_Ar_mc_AKGC417L.txt,158,2p2,Ar,mc,AKGC417L
130_1p2_Lr_mc_AKGC417L.txt,130,1p2,Lr,mc,AKGC417L
218_1b1_Al_sc_Meditron.txt,218,1b1,Al,sc,Meditron
178_1b6_Ar_mc_AKGC417L.txt,178,1b6,Ar,mc,AKGC417L
156_5b3_Al_mc_AKGC417L.txt,156,5b3,Al,mc,AKGC417L
133_3p4_Tc_mc_AKGC417L.txt,133,3p4,Tc,mc,AKGC417L
162_2b3_Ar_mc_AKGC417L.txt,162,2b3,Ar,mc,AKGC417L
176_2b3_Ar_mc_AKGC417L.txt,176,2b3,Ar,mc,AKGC417L
130_2b4_Lr_mc_AKGC417L.txt,130,2b4,Lr,mc,AKGC417L
193_1b2_Ll_mc_AKGC417L.txt,193,1b2,Ll,mc,AKGC417L
162_2b2_Al_mc_AKGC417L.txt,162,2b2,Al,mc,AKGC417L
201_1b2_Ar_sc_Meditron.txt,201,1b2,Ar,sc,Meditron
165_1b1_Pl_sc_Meditron.txt,165,1b1,Pl,sc,Meditron
186_2b4_Tc_mc_AKGC417L.txt,186,2b4,Tc,mc,AKGC417L
159_1b1_Ar_sc_Meditron.txt,159,1b1,Ar,sc,Meditron
145_2b2_Ar_mc_AKGC417L.txt,145,2b2,Ar,mc,AKGC417L
172_2b5_Tc_mc_AKGC417L.txt,172,2b5,Tc,mc,AKGC417L
122_2b2_Ar_mc_LittC2SE.txt,122,2b2,Ar,mc,LittC2SE
108_1b1_Al_sc_Meditron.txt,108,1b1,Al,sc,Meditron
207_3b2_Ar_mc_AKGC417L.txt,207,3b2,Ar,mc,AKGC417L
138_1p2_Pl_mc_AKGC417L.txt,138,1p2,Pl,mc,AKGC417L
133_3p2_Ar_mc_AKGC417L.txt,133,3p2,Ar,mc,AKGC417L
107_2b3_Tc_mc_AKGC417L.txt,107,2b3,Tc,mc,AKGC417L
200_2p4_Ar_mc_AKGC417L.txt,200,2p4,Ar,mc,AKGC417L
106_2b1_Pr_mc_LittC2SE.txt,106,2b1,Pr,mc,LittC2SE
195_1b1_Al_sc_Litt3200.txt,195,1b1,Al,sc,Litt3200
188_1b1_Pl_sc_Meditron.txt,188,1b1,Pl,sc,Meditron
203_1p4_Al_mc_AKGC417L.txt,203,1p4,Al,mc,AKGC417L
130_2p5_Pr_mc_AKGC417L.txt,130,2p5,Pr,mc,AKGC417L
221_2b1_Lr_mc_LittC2SE.txt,221,2b1,Lr,mc,LittC2SE
211_2p3_Tc_mc_AKGC417L.txt,211,2p3,Tc,mc,AKGC417L
120_1b1_Al_sc_Meditron.txt,120,1b1,Al,sc,Meditron
135_2b2_Ar_mc_LittC2SE.txt,135,2b2,Ar,mc,LittC2SE
135_2b3_Al_mc_LittC2SE.txt,135,2b3,Al,mc,LittC2SE
167_1b1_Al_sc_Meditron.txt,167,1b1,Al,sc,Meditron
170_1b4_Ar_mc_AKGC417L.txt,170,1b4,Ar,mc,AKGC417L
146_2b4_Ar_mc_AKGC417L.txt,146,2b4,Ar,mc,AKGC417L
174_1p4_Tc_mc_AKGC417L.txt,174,1p4,Tc,mc,AKGC417L
130_1p2_Al_mc_AKGC417L.txt,130,1p2,Al,mc,AKGC417L
140_2b2_Tc_mc_LittC2SE.txt,140,2b2,Tc,mc,LittC2SE
190_1b1_Tc_sc_Meditron.txt,190,1b1,Tc,sc,Meditron
204_7p5_Lr_mc_AKGC417L.txt,204,7p5,Lr,mc,AKGC417L
172_1b3_Pr_mc_AKGC417L.txt,172,1b3,Pr,mc,AKGC417L
115_1b1_Ar_sc_Meditron.txt,115,1b1,Ar,sc,Meditron
201_1b3_Ar_sc_Meditron.txt,201,1b3,Ar,sc,Meditron
156_2b3_Al_mc_AKGC417L.txt,156,2b3,Al,mc,AKGC417L
158_1b3_Ar_mc_LittC2SE.txt,158,1b3,Ar,mc,LittC2SE
207_2b4_Tc_mc_AKGC417L.txt,207,2b4,Tc,mc,AKGC417L
177_1b4_Ar_mc_AKGC417L.txt,177,1b4,Ar,mc,AKGC417L
163_8b3_Ll_mc_AKGC417L.txt,163,8b3,Ll,mc,AKGC417L
205_4b2_Pr_mc_AKGC417L.txt,205,4b2,Pr,mc,AKGC417L
177_2b4_Lr_mc_AKGC417L.txt,177,2b4,Lr,mc,AKGC417L
151_2p4_Lr_mc_AKGC417L.txt,151,2p4,Lr,mc,AKGC417L
193_7b3_Lr_mc_AKGC417L.txt,193,7b3,Lr,mc,AKGC417L
221_2b2_Al_mc_LittC2SE.txt,221,2b2,Al,mc,LittC2SE
156_2b3_Ll_mc_AKGC417L.txt,156,2b3,Ll,mc,AKGC417L
174_1p3_Tc_mc_AKGC417L.txt,174,1p3,Tc,mc,AKGC417L
117_1b3_Tc_mc_LittC2SE.txt,117,1b3,Tc,mc,LittC2SE
181_1b3_Tc_mc_LittC2SE.txt,181,1b3,Tc,mc,LittC2SE
163_2b2_Ar_mc_AKGC417L.txt,163,2b2,Ar,mc,AKGC417L
161_1b1_Pl_sc_Meditron.txt,161,1b1,Pl,sc,Meditron
138_2p2_Ll_mc_AKGC417L.txt,138,2p2,Ll,mc,AKGC417L
178_1b6_Al_mc_AKGC417L.txt,178,1b6,Al,mc,AKGC417L
177_1b4_Al_mc_AKGC417L.txt,177,1b4,Al,mc,AKGC417L
160_2b3_Lr_mc_AKGC417L.txt,160,2b3,Lr,mc,AKGC417L
120_1b1_Pl_sc_Meditron.txt,120,1b1,Pl,sc,Meditron
